type,id,name
way,35205743,Denver Art Museum
way,296804941,Downtown Aquarium
way,34008043,Colorado State Capitol
way,157656310,Denver Zoo
node,965153814,Denver Zoo
relation,4213870,Colorado Convention Center
way,223802670,Denver Botanic Gardens
node,1928670727,Denver Botanic Gardens
node,2836996528,Wings Over the Rockies Air and Space Museum
node,353915958,Belle Isle Park
way,68957303,Charles H. Wright Museum of African American History
way,68962399,Detroit Historical Museum
way,107606561,Renaissance Center
way,110555613,Ford Field
node,1234943126,Greektown Casino Hotel
way,68992675,Michigan Science Center
way,12700546,Burj Al Arab
way,47515677,The Dubai Mall
way,175115425,Mall of the Emirates
node,4314939993,Mall of the Emirates
way,202638354,Madinat Jumeirah
node,1155135639,Madinat Jumeirah
node,4416344376,Madinat Jumeirah
way,455295407,Madinat Jumeirah
node,3722114050,Madinat Jumeirah
node,3717446089,Dubai Museum
way,41662413,Kilmainham Gaol
way,231082847,National Museum of Ireland
way,48806099,National Museum of Ireland
node,140706284,National Museum of Ireland
way,231082845,National Museum of Ireland
relation,5982000,National Museum of Ireland
way,43981182,St Patrick's Cathedral
way,74600934,Chester Beatty Library
way,76592311,Temple Bar
node,2986012929,Temple Bar
way,27291101,Christ Church Cathedral
way,13993652,St Stephen's Green
way,231082845,National Museum of Ireland – Archaeology
relation,3235289,Croke Park
node,31209291,Arthur's Seat
way,99889822,HMY Britannia
way,5209575,Royal Botanic Garden Edinburgh
node,2113071246,Mary King's Close
node,268408103,Camera Obscura
way,22938944,Scottish National Gallery
way,22938984,Scottish National Gallery
way,73090302,Scottish National Gallery
way,42407060,St Giles' Cathedral
node,2914760336,Scotch Whisky Experience
way,92017727,Wyler Aerial Tramway
way,92017729,Wyler Aerial Tramway
way,262818915,El Paso Museum of Art
way,86811631,National Border Patrol Museum
way,249041571,Chamizal National Memorial
relation,3549806,El Paso Zoo
node,356852189,Ysleta Mission
node,368162729,Plaza Theatre
node,2244694385,Reformation Wall
way,8161109,Place du Bourg-de-Four
way,26176780,Palace of Nations
way,14364104,Musée Ariana
node,151192185,Musée d'Art et d'Histoire
way,15256715,Musée Rath
way,260057822,Malecón
way,288523229,Malecón
way,288523234,Malecón
way,4336787,Malecón
way,288523249,Malecón
way,288523571,Malecón
way,23860185,Malecón
way,23918434,Morro Castle
way,23872614,Museum of the Revolution
way,23872642,El Capitolio
node,4426122393,El Capitolio
relation,161506,Castillo de la Real Fuerza
way,210728245,Finca Vigía
way,23876175,José Martí Memorial
way,23905470,Gran Teatro de La Habana
relation,3531562,Colon Cemetery
relation,2919121,Helsinki Senate Square
way,36911729,Seurasaari
relation,936105,Seurasaari
way,15242921,Uspenski Cathedral
way,8033120,Ateneum
way,140867205,Linnanmäki
relation,2919185,Market Square
way,8042215,Kiasma
relation,6635,National Museum of Finland
way,122595198,Helsinki Central railway station
way,391176774,Ocean Park Hong Kong
node,2176979623,Ocean Park Hong Kong
way,377094298,Hong Kong Disneyland
relation,3676782,Lantau Island
way,45659816,Tian Tan Buddha
way,46486825,Po Lin Monastery
way,23766488,Happy Valley Racecourse
way,9561376,Lamma Island
way,99148524,Hong Kong Museum of History
node,4402847938,Hong Kong Museum of History
way,227779865,Repulse Bay
node,1126157594,Repulse Bay
way,67136074,ʻIolani Palace
node,4672738554,ʻIolani Palace
way,51804371,USS Arizona Memorial
node,1482687185,Hanauma Bay
way,165627410,USS Missouri (BB-63)
way,360437606,Bernice Pauahi Bishop Museum
way,165627406,USS Bowfin
way,61956399,National Memorial Cemetery of the Pacific
node,367803935,Waikiki Aquarium
way,218572753,Ala Moana Center
way,162044417,Ala Moana Center
node,3625356648,Pacific Aviation Museum Pearl Harbor
way,233155533,Space Center Houston
way,45776249,Children's Museum of Houston
way,210993912,Children's Museum of Houston
way,383573690,Downtown Aquarium
way,87644297,Menil Collection
way,51816626,Houston Zoo
node,4289826721,Houston Zoo
node,4289825199,Houston Zoo
way,148087198,Bayou Bend Collection and Gardens
way,103746858,Buffalo Bayou
way,278552887,White River State Park
way,113050097,Eiteljorg Museum of American Indians and Western Art
relation,6268982,Indiana State Museum
way,113050080,NCAA Hall of Champions
way,113879534,Indianapolis Zoo
node,4631081693,Indianapolis Zoo
way,339773760,Soldiers' and Sailors' Monument
way,113879541,White River Gardens
way,335415778,Topkapı Palace
way,303807317,Grand Bazaar
way,180546853,Basilica Cistern
way,23236783,Galata Tower
way,24234905,Süleymaniye Mosque
way,24826707,Dolmabahçe Palace
relation,2791545,Golden Horn
way,24234971,Spice Bazaar
way,348479220,Museum of Science and History
way,351464790,Jacksonville Zoo and Gardens
way,348479221,Friendship Fountain
node,358733662,Kingsley Plantation
node,358737885,Big Talbot Island State Park
way,326826328,Museum of Contemporary Art Jacksonville
node,4340873689,Al-Shallal Theme Park
node,4340811790,Fakieh Aquarium
node,4663460290,Gold Reef City
way,26352789,Constitution Hill
way,23370079,Johannesburg Zoo
node,1373730765,Johannesburg Zoo
way,28048272,National Heroes Park
way,293398704,Lime Cay
node,290803586,Devon House
way,339345041,Devon House
way,183061148,100 Hope Road
way,264543007,100 Hope Road
way,467167144,Bukit Bintang
way,438898246,Kuala Lumpur Bird Park
way,244496785,Kuala Lumpur Tower
node,1919710738,Kuala Lumpur Tower
node,1456303681,Aquaria KLCC
way,23069513,Merdeka Square
way,244562541,Islamic Arts Museum Malaysia
way,23768010,Sultan Abdul Samad Building
way,23034336,Suria KLCC
way,132157008,Fremont Street Experience
way,135456188,Stratosphere Las Vegas
way,206128504,Mob Museum
way,108132918,Fremont Street
way,266824889,Neon Museum
way,24341353,Belém Tower
way,47183897,Praça do Comércio
node,2450391612,Praça do Comércio
node,4379547131,Praça do Comércio
way,96896573,Praça do Comércio
way,55593971,Calouste Gulbenkian Museum
way,230062385,Lisbon Oceanarium
way,370870741,Tower of London
node,691387453,Tower of London
way,119789042,St Paul's Cathedral
relation,5208404,Buckingham Palace
way,153173958,Tower Bridge
way,24951423,Tower Bridge
way,364313092,Westminster Abbey
node,1802652184,Big Ben
relation,177044,British Museum
relation,1567699,Palace of Westminster
node,2250396691,London Dungeon
relation,904705,Kensington Palace
node,358824106,Griffith Park
way,405141323,Hollywood Boulevard
way,398194770,Hollywood Boulevard
way,398048103,Hollywood Boulevard
way,398048102,Hollywood Boulevard
way,385648321,Hollywood Walk of Fame
way,422130705,Griffith Observatory
relation,6333150,Walt Disney Concert Hall
way,358731585,Los Angeles County Museum of Art
way,13307207,Rodeo Drive
node,4400822289,Rodeo Drive
way,24685850,Churchill Downs
node,4215189315,Kentucky Derby Museum
way,24050556,Louisville Zoo
way,331282774,Kentucky Science Center
way,334900781,Speed Art Museum
relation,4731432,Speed Art Museum
way,192573684,Senado Square
way,64933974,Macau Tower
way,192187333,A-Ma Temple
way,192095917,The Venetian Macao
way,46510080,Fortaleza do Monte
way,192179996,Macau Science Center
relation,2590433,Macau Science Center
relation,4257072,Macau Fisherman's Wharf
relation,2126909,Museo Nacional Del Prado
way,158854571,Museo Nacional Del Prado
relation,1213832,Museo Nacional Centro de Arte Reina Sofía
relation,6432785,Temple of Debod
way,155551743,Gran Vía
way,32597088,Gran Vía
way,254044768,Gran Vía
way,4328841,Gran Vía
node,4317899993,Puerta del Sol
node,4332238489,Santiago Bernabéu Stadium
way,131443347,Plaza de Cibeles
way,27396510,Plaza de Cibeles
way,89571506,San Agustin Church
way,313940238,Manila Ocean Park
way,29282233,Manila Ocean Park
way,27086772,Quiapo Church
way,331784458,Fort Santiago
way,27275508,Rizal Shrine
node,4179570154,San Sebastian Church
way,119985329,San Sebastian Church
way,331777144,Manila Cathedral
relation,2913264,Star City
way,103914569,Kaaba
node,4417316245,Black Stone
node,3732559985,Hira
way,41447463,Hira
way,22963283,Federation Square
way,45422277,Royal Botanic Gardens
node,907778370,Yarra River
way,113434071,Queen Victoria Market
way,25467961,Queen Victoria Market
way,25467962,Queen Victoria Market
way,27696944,National Gallery of Victoria
way,210337258,Melbourne Cricket Ground
way,26564392,Old Melbourne Gaol
way,48531904,Puffing Billy Railway
node,1433022620,Beale Street Historic District
way,95132665,National Civil Rights Museum
way,95141314,Sun Studio
node,1103624379,Memphis Rock N' Soul Museum
way,105087041,Memphis Zoo
way,118647101,Memphis Pyramid
node,368157053,Dixon Gallery and Gardens
node,4527096790,Zócalo
way,221909363,Zócalo
way,157051087,Palacio de Bellas Artes
relation,2355610,Frida Kahlo Museum
relation,1918,Sforza Castle
relation,6648223,Brera
way,331883966,Galleria Vittorio Emanuele II
node,1029667846,Pinacoteca di Brera
way,27755927,Santa Maria delle Grazie
